,Date,Open,High,Low,Close,Volume
0,2017-08-07,50.071,50.091,50.071,50.091,1203
1,2017-08-10,49.552,49.552,49.552,49.552,191
2,2017-08-14,49.871,49.871,49.866,49.866,2005
3,2017-08-18,49.223,49.223,49.223,49.223,100
4,2017-08-21,49.043,49.093,49.043,49.093,802
5,2017-08-22,49.452,49.452,49.452,49.452,2005
6,2017-08-28,49.432,49.432,49.432,49.432,1053
7,2017-09-05,49.582,49.582,49.582,49.582,100
8,2017-09-08,49.911,49.911,49.911,49.911,115
9,2017-09-19,50.73,50.73,50.729,50.729,1002
10,2017-09-20,50.769,50.769,50.769,50.769,100
11,2017-09-22,51.76,51.76,51.76,51.76,100
12,2017-09-25,50.6,50.6,50.48,50.48,386
13,2017-10-02,51.18,51.18,51.1518,51.1518,977
14,2017-10-03,51.33,51.33,51.33,51.33,100
15,2017-10-16,51.7655,51.7655,51.7655,51.7655,1167
16,2017-10-18,51.94,51.94,51.93,51.93,300
17,2017-10-19,51.7,51.7,51.7,51.7,1900
18,2017-10-20,52.18,52.18,52.18,52.18,329
19,2017-10-23,52.1055,52.13,52.1055,52.13,548
20,2017-10-26,51.968,51.968,51.968,51.968,130
21,2017-10-27,52.37,52.37,52.37,52.37,200
22,2017-10-30,51.94,52.23,51.94,52.23,2050
23,2017-11-10,52.43,52.43,52.43,52.43,100
