,Date,Open,High,Low,Close,Volume
0,2017-05-04,22.051,22.578,21.464,21.901,13802718
1,2017-05-05,21.901,22.329,21.901,22.18,1934378
2,2017-05-08,22.091,22.24,21.642,21.931,1318122
3,2017-05-09,21.901,21.975,21.552,21.901,822060
4,2017-05-10,21.812,21.861,21.214,21.444,1159828
5,2017-05-11,21.552,21.662,21.125,21.155,857103
6,2017-05-12,21.155,21.464,20.876,21.404,674194
7,2017-05-15,21.602,21.652,21.125,21.195,856508
8,2017-05-16,21.205,21.612,21.065,21.254,1426718
9,2017-05-17,21.334,21.334,20.905,20.905,933821
10,2017-05-18,20.945,21.005,20.737,20.915,483007
11,2017-05-19,20.796,21.025,20.588,20.905,920198
12,2017-05-22,21.055,21.812,21.005,21.812,486521
13,2017-05-23,21.424,22.111,21.424,21.931,877609
14,2017-05-24,21.841,21.991,21.404,21.582,915431
15,2017-05-25,21.374,22.131,21.314,21.961,659512
16,2017-05-26,21.951,22.15,21.762,21.871,600695
17,2017-05-30,22.16,22.598,21.861,22.011,1109955
18,2017-05-31,22.011,22.111,21.752,21.981,1086137
19,2017-06-01,22.011,22.498,21.722,22.468,860206
20,2017-06-02,22.409,22.767,21.921,22.18,1172382
21,2017-06-05,22.031,22.309,21.782,22.2,721807
22,2017-06-06,22.111,22.468,21.812,22.449,697988
23,2017-06-07,22.309,22.449,22.071,22.141,652675
24,2017-06-08,22.081,22.379,21.802,21.911,601182
25,2017-06-09,21.881,22.051,21.334,21.881,735398
26,2017-06-12,21.941,21.946,21.045,21.532,353975
27,2017-06-13,21.652,22.091,21.364,21.971,375926
28,2017-06-14,22.021,22.081,21.792,21.941,353128
29,2017-06-15,21.861,22.399,20.707,20.886,972274
30,2017-06-16,20.568,21.483,20.468,21.284,370240
31,2017-06-19,21.185,21.494,21.075,21.185,170500
32,2017-06-20,21.105,21.2,20.408,20.458,344193
33,2017-06-21,20.538,20.538,19.821,20.358,333619
34,2017-06-22,20.388,20.876,20.019,20.528,614682
35,2017-06-23,20.548,20.876,19.97,20.786,970714
36,2017-06-26,20.746,21.334,20.418,21.224,753427
37,2017-06-27,21.165,21.499,20.727,21.374,900093
38,2017-06-28,21.384,22.011,21.055,21.921,634815
39,2017-06-29,22.001,22.041,21.542,21.552,354971
40,2017-06-30,21.434,22.339,21.115,21.881,477938
41,2017-07-03,21.822,22.061,21.572,21.812,171825
42,2017-07-05,21.772,21.772,20.746,21.025,221884
43,2017-07-06,20.965,21.504,20.896,21.224,416002
44,2017-07-07,21.314,21.314,20.518,21.085,259954
45,2017-07-10,21.005,21.334,20.697,20.955,257134
46,2017-07-11,20.886,21.394,20.766,21.254,283794
47,2017-07-12,21.224,21.474,21.035,21.394,84076
48,2017-07-13,21.274,21.777,20.955,21.602,261276
49,2017-07-14,21.434,21.841,21.254,21.414,379454
50,2017-07-17,21.284,21.742,21.254,21.662,77544
51,2017-07-18,21.552,21.612,21.254,21.474,146579
52,2017-07-19,21.562,21.577,21.205,21.284,212046
53,2017-07-20,21.304,21.454,20.707,21.205,293331
54,2017-07-21,21.095,21.622,20.955,21.025,209369
55,2017-07-24,21.075,21.205,20.905,20.925,123863
56,2017-07-25,21.085,21.244,20.707,20.915,309124
57,2017-07-26,20.915,21.374,20.746,20.915,174629
58,2017-07-27,21.005,21.085,20.746,20.925,78654
59,2017-07-28,20.876,21.115,20.866,20.995,110623
60,2017-07-31,21.025,21.264,20.905,21.135,225881
61,2017-08-01,21.062,21.521,21.062,21.461,615834
62,2017-08-02,21.321,21.341,20.265,20.893,267761
63,2017-08-03,20.733,21.152,20.045,20.225,627598
64,2017-08-04,20.175,20.334,20.07,20.265,312435
65,2017-08-07,20.095,20.095,19.816,19.946,262997
66,2017-08-08,19.846,19.846,19.288,19.437,566658
67,2017-08-09,19.357,19.487,19.118,19.308,678814
68,2017-08-10,19.238,19.318,18.849,18.879,482895
69,2017-08-11,18.72,19.039,18.49,18.909,495558
70,2017-08-14,19.407,19.407,18.949,19.009,377759
71,2017-08-15,18.949,18.949,18.48,18.65,223230
72,2017-08-16,18.62,18.889,18.49,18.57,196060
73,2017-08-17,18.53,18.824,18.351,18.421,144160
74,2017-08-18,18.381,18.555,18.067,18.311,241368
75,2017-08-21,18.291,18.381,17.992,18.082,191912
76,2017-08-22,18.181,18.197,17.922,18.102,334410
77,2017-08-23,18.092,18.59,17.942,18.371,189275
78,2017-08-24,18.341,18.52,18.141,18.421,133880
79,2017-08-25,18.52,18.52,18.271,18.321,129680
80,2017-08-28,18.331,18.421,17.942,18.012,278700
81,2017-08-29,17.862,17.962,17.603,17.882,345639
82,2017-08-30,18.032,18.66,17.783,18.391,1260901
83,2017-08-31,18.401,19.039,18.311,18.999,294206
84,2017-09-01,19.088,19.348,18.799,19.238,311776
85,2017-09-05,19.238,19.647,19.158,19.537,244616
86,2017-09-06,19.706,19.876,19.537,19.786,683757
87,2017-09-07,19.866,19.891,19.587,19.726,533663
88,2017-09-08,19.387,19.437,19.039,19.168,582258
89,2017-09-11,19.288,19.357,18.939,19.098,347885
90,2017-09-12,19.048,19.477,19.048,19.278,181488
91,2017-09-13,19.178,19.457,19.078,19.367,190851
92,2017-09-14,19.328,19.477,19.108,19.357,238419
93,2017-09-15,19.437,19.467,19.088,19.437,393802
94,2017-09-18,19.477,19.497,19.208,19.397,122554
95,2017-09-19,19.387,19.437,19.118,19.328,334114
96,2017-09-20,19.258,19.597,19.128,19.557,170372
97,2017-09-21,19.607,19.607,19.293,19.477,182989
98,2017-09-22,19.487,19.597,19.396,19.527,99822
99,2017-09-25,19.427,20.174,19.308,20.025,316867
100,2017-09-26,19.916,20.354,19.781,20.284,444625
101,2017-09-27,20.215,20.215,19.846,20.035,247494
102,2017-09-28,19.956,20.095,19.467,20.075,261113
103,2017-09-29,20.085,20.404,20.035,20.404,382404
104,2017-10-02,20.255,20.514,19.975,20.324,179063
105,2017-10-03,20.354,20.621,19.911,20.165,102851
106,2017-10-04,20.105,20.105,19.736,19.956,148267
107,2017-10-05,20.025,20.155,19.876,20.125,77410
108,2017-10-06,19.985,20.095,19.906,20.005,117095
