,Date,Open,High,Low,Close,Volume
0,2014-09-12,6.95,7.0,5.63,5.7,3572125
1,2014-09-15,6.0,6.4,5.85,6.4,478887
2,2014-09-16,6.4,6.49,5.91,6.22,163319
3,2014-09-17,6.17,6.32,6.02,6.27,145346
4,2014-09-18,6.12,6.27,6.0,6.12,148704
5,2014-09-19,6.11,6.3,6.03,6.18,136259
6,2014-09-22,6.19,6.49,6.1001,6.36,142004
7,2014-09-23,6.37,6.5,6.2,6.37,92254
8,2014-09-24,6.35,6.3691,6.2,6.34,68110
9,2014-09-25,6.1,6.3,6.09,6.26,61266
10,2014-09-26,6.28,6.4,6.15,6.4,20265
11,2014-09-29,6.38,6.38,6.1601,6.19,30568
12,2014-09-30,6.15,6.3,6.15,6.3,43616
13,2014-10-01,6.29,6.29,5.63,6.01,103050
14,2014-10-02,5.87,6.18,5.68,6.0,20896
15,2014-10-03,6.18,6.39,6.027,6.36,24137
16,2014-10-06,6.385,6.4,6.1601,6.3,21786
17,2014-10-07,6.33,6.35,6.0,6.16,78786
18,2014-10-08,6.24,6.29,6.06,6.09,72939
19,2014-10-09,6.07,6.27,6.0,6.1,42402
20,2014-10-10,6.3,6.3,5.19,5.2,40017
21,2014-10-13,5.22,5.81,5.1,5.12,33253
22,2014-10-14,5.16,5.66,4.56,5.25,41734
23,2014-10-15,5.16,5.4,4.8,5.3,41425
24,2014-10-16,5.29,5.58,5.0,5.29,11099
25,2014-10-17,5.41,5.41,4.88,5.002,29299
26,2014-10-20,5.03,5.21,4.905,4.911,7855
27,2014-10-21,4.92,5.2,4.52,4.57,20091
28,2014-10-22,4.63,4.9,4.58,4.63,28738
29,2014-10-23,4.83,4.83,4.51,4.61,17967
30,2014-10-24,4.58,4.82,4.31,4.41,74485
31,2014-10-27,4.61,4.71,3.55,4.112,59002
32,2014-10-28,4.07,4.59,3.91,4.512,30372
33,2014-10-29,4.52,4.72,4.3,4.59,14077
34,2014-10-30,4.58,4.68,4.0501,4.44,21218
35,2014-10-31,4.66,4.88,4.05,4.72,14194
36,2014-11-03,4.73,4.92,4.26,4.52,16586
37,2014-11-04,4.78,4.78,4.07,4.37,24675
38,2014-11-05,4.3,4.9,4.07,4.9,56003
39,2014-11-06,4.74,5.0,4.54,4.95,21104
40,2014-11-07,4.93,5.0,4.37,5.0,20636
41,2014-11-10,4.98,5.0,4.56,4.56,11816
42,2014-11-11,4.97,4.99,4.57,4.7,6202
43,2014-11-12,4.95,5.0,4.3275,4.71,29874
44,2014-11-13,4.76,5.0,4.76,4.99,12267
45,2014-11-14,5.0,5.49,5.0,5.4,13788
46,2014-11-17,5.48,6.1,5.47,6.02,53271
47,2014-11-18,6.49,6.51,6.0501,6.2,30482
48,2014-11-19,6.63,6.63,5.64,5.72,56953
49,2014-11-20,5.74,6.22,5.29,5.65,21979
50,2014-11-21,5.66,6.2199,5.66,5.95,19596
51,2014-11-24,5.99,6.25,5.985,6.23,28120
52,2014-11-25,6.25,6.6,6.02,6.6,42445
53,2014-11-26,6.32,7.01,6.32,7.01,33632
54,2014-11-28,7.0,7.74,6.5,7.65,71495
55,2014-12-01,8.05,8.05,7.498,7.54,55278
56,2014-12-02,7.58,7.96,7.25,7.45,74515
57,2014-12-03,7.53,7.59,7.096,7.5,27578
58,2014-12-04,7.65,7.69,7.05,7.59,20079
59,2014-12-05,7.55,8.25,7.18,7.83,55350
60,2014-12-08,7.99,8.3,7.0,7.05,90637
61,2014-12-09,6.93,6.93,5.43,5.79,172769
62,2014-12-10,5.79,6.45,5.656,5.75,119881
63,2014-12-11,5.83,5.99,5.5,5.72,61219
64,2014-12-12,5.7201,6.1299,5.16,5.38,78474
65,2014-12-15,5.45,5.87,5.38,5.68,29047
66,2014-12-16,5.65,6.05,5.2301,5.43,39668
67,2014-12-17,5.41,5.71,5.14,5.31,23172
68,2014-12-18,5.26,6.156,5.26,5.7,59607
69,2014-12-19,5.7,6.3399,5.4,6.1,98035
70,2014-12-22,6.21,6.6,6.04,6.35,106873
71,2014-12-23,6.49,6.49,6.0,6.164,42837
72,2014-12-24,6.15,6.3729,6.0,6.19,39481
73,2014-12-26,6.0,6.5,6.0,6.19,29703
74,2014-12-29,6.07,6.3599,6.05,6.31,28670
75,2014-12-30,6.34,6.34,6.12,6.32,46666
76,2014-12-31,6.25,6.39,6.11,6.2,67223
77,2015-01-02,6.31,6.5199,6.16,6.24,55534
78,2015-01-05,6.19,7.02,6.09,6.55,68624
79,2015-01-06,6.65,6.65,6.18,6.4,54844
80,2015-01-07,6.47,7.6,6.44,7.2,120471
81,2015-01-08,7.4,7.61,7.1,7.13,63360
82,2015-01-09,7.14,7.37,6.54,6.91,66414
83,2015-01-12,6.9201,7.368,6.81,6.87,67639
84,2015-01-13,6.85,6.96,5.82,6.2,172125
85,2015-01-14,6.07,6.27,5.85,5.91,102716
86,2015-01-15,5.92,6.16,5.6,5.62,55759
87,2015-01-16,5.63,6.01,5.6,5.91,34666
88,2015-01-20,6.09,6.09,5.722,5.86,23500
89,2015-01-21,5.81,6.01,5.65,5.67,57744
90,2015-01-22,5.65,5.65,5.25,5.26,57472
91,2015-01-23,5.2501,5.3799,5.16,5.22,43838
92,2015-01-26,5.31,5.46,5.23,5.29,43068
93,2015-01-27,5.3,5.907,5.18,5.66,32142
94,2015-01-28,5.7,6.17,5.42,6.09,74270
95,2015-01-29,6.07,6.07,5.45,5.8,40801
96,2015-01-30,5.9,6.19,5.57,5.69,16032
97,2015-02-02,5.75,6.09,5.5,5.66,13007
98,2015-02-03,5.58,5.762,5.3,5.46,31256
99,2015-02-04,5.55,5.71,5.36,5.68,24490
100,2015-02-05,5.78,5.99,5.51,5.85,26341
101,2015-02-06,5.77,5.82,5.27,5.65,18139
102,2015-02-09,5.38,5.734,5.33,5.36,25620
103,2015-02-10,5.45,5.71,5.35,5.66,9784
104,2015-02-11,5.65,5.87,5.53,5.8,31960
105,2015-02-12,5.8,5.95,5.58,5.95,20798
106,2015-02-13,5.95,5.95,5.54,5.7,44408
107,2015-02-17,5.66,5.785,5.25,5.32,72641
