,Date,Open,High,Low,Close,Volume
0,2005-09-29,12.0,12.0,12.0,12.0,0
1,2005-09-30,12.27,15.71,12.01,15.25,5356823
2,2005-10-03,15.25,15.47,14.4,14.75,730654
3,2005-10-04,15.0,15.0,14.0,14.0,536376
4,2005-10-05,14.5,14.6,14.0,14.21,134082
5,2005-10-06,14.14,14.5,14.0,14.3,114663
6,2005-10-07,14.2,14.23,14.0,14.11,274250
7,2005-10-10,14.0,14.28,14.0,14.1,241150
8,2005-10-11,14.06,14.28,14.0,14.15,155405
9,2005-10-12,14.0,14.13,14.0,14.11,322479
10,2005-10-13,14.07,14.95,14.07,14.79,75060
11,2005-10-14,14.95,15.1,14.59,14.59,135057
12,2005-10-17,14.87,14.99,14.5,14.75,17789
13,2005-10-18,14.68,15.0,14.55,14.9,51559
14,2005-10-19,14.95,15.74,14.75,15.5,33946
15,2005-10-20,15.32,16.22,15.3,15.45,196090
16,2005-10-21,15.41,15.79,15.31,15.31,186755
17,2005-10-24,15.31,15.62,15.26,15.44,4853
18,2005-10-25,15.45,15.83,14.9,15.6,280411
19,2005-10-26,15.45,17.29,15.45,16.8,579159
20,2005-10-27,17.39,17.64,16.8,17.45,84907
21,2005-10-28,17.31,17.5,16.84,17.45,156622
22,2005-10-31,16.98,17.28,16.47,16.93,382335
23,2005-11-01,16.85,17.45,16.54,17.29,155071
24,2005-11-02,17.15,18.87,17.15,18.0,212969
25,2005-11-03,18.14,18.22,17.17,17.71,83015
26,2005-11-04,18.0,18.25,17.83,17.83,30147
27,2005-11-07,17.79,18.55,17.69,18.16,46106
28,2005-11-08,18.2,18.44,18.16,18.2,29490
29,2005-11-09,18.93,19.5,18.3,18.4,86091
30,2005-11-10,18.5,18.5,17.62,18.4,83319
31,2005-11-11,18.4,18.5,18.01,18.4,72339
32,2005-11-14,19.14,19.14,18.7,18.83,46097
33,2005-11-15,19.36,19.36,18.95,19.09,73739
34,2005-11-16,19.32,19.74,19.02,19.25,30359
35,2005-11-17,19.45,19.7,18.75,18.96,37516
36,2005-11-18,18.88,19.26,18.47,18.73,41371
37,2005-11-21,18.95,19.49,18.65,18.7,61532
38,2005-11-22,18.73,18.73,17.22,18.41,91305
39,2005-11-23,18.23,18.63,18.2,18.51,22977
40,2005-11-25,18.23,18.4,18.02,18.23,40610
41,2005-11-28,18.0,18.19,17.49,18.02,105738
42,2005-11-29,17.79,19.0,17.79,18.42,124785
43,2005-11-30,18.35,18.35,17.55,18.16,80446
44,2005-12-01,18.23,18.46,17.85,17.94,54214
45,2005-12-02,18.1,19.1,18.09,19.0,65145
46,2005-12-05,19.14,19.14,18.85,19.0,12754
47,2005-12-06,18.79,20.89,18.46,19.8,225331
48,2005-12-07,20.25,20.52,19.63,20.0,190816
49,2005-12-08,20.45,20.45,20.01,20.3,192334
50,2005-12-09,20.23,20.48,20.23,20.48,77056
51,2005-12-12,20.63,21.25,20.41,20.95,246587
52,2005-12-13,20.8,20.94,20.79,20.94,67125
53,2005-12-14,21.17,21.4,20.95,21.17,105604
54,2005-12-15,21.43,22.0,21.33,21.95,22686
55,2005-12-16,21.47,22.26,21.47,22.26,33653
56,2005-12-19,22.26,22.45,21.81,22.35,125752
57,2005-12-20,22.35,22.42,22.17,22.3,118723
58,2005-12-21,22.3,22.83,22.3,22.37,111122
59,2005-12-22,22.54,22.61,22.21,22.33,97612
60,2005-12-23,22.33,22.46,22.17,22.35,108976
61,2005-12-27,22.47,22.47,21.58,21.91,109628
62,2005-12-28,21.9,22.05,21.08,21.86,52193
63,2005-12-29,21.59,22.42,21.31,22.22,90976
64,2005-12-30,22.44,22.77,22.23,22.75,55847
65,2006-01-03,22.75,23.52,22.36,23.09,360530
66,2006-01-04,23.15,23.29,22.82,23.17,101416
67,2006-01-05,23.2,23.43,22.78,23.11,158247
68,2006-01-06,23.48,24.11,23.48,23.78,161624
69,2006-01-09,23.84,23.84,23.11,23.36,182671
70,2006-01-10,23.45,23.94,23.14,23.84,129372
71,2006-01-11,24.05,26.0,23.91,25.62,352578
72,2006-01-12,25.62,25.62,24.4,24.71,343112
73,2006-01-13,24.7,25.7,24.7,25.3,167523
74,2006-01-17,25.39,26.95,25.3,26.78,69034
75,2006-01-18,26.7,27.21,26.47,26.9,196857
76,2006-01-19,27.03,28.55,26.97,27.81,190806
77,2006-01-20,28.0,28.45,27.85,28.2,260403
78,2006-01-23,27.97,28.59,27.97,28.05,141187
79,2006-01-24,28.05,28.21,26.21,27.2,279946
80,2006-01-25,32.2,32.38,29.9,30.02,1100851
81,2006-01-26,30.0,30.33,29.91,30.01,61095
82,2006-01-27,30.2,30.5,29.85,30.3,48512
83,2006-01-30,30.45,30.56,29.81,30.04,50082
84,2006-01-31,30.1,30.33,29.41,30.23,79801
85,2006-02-01,30.34,30.34,29.9,29.9,95323
86,2006-02-02,30.0,30.45,29.98,30.39,66500
87,2006-02-03,30.18,31.47,30.18,30.98,44477
88,2006-02-06,31.0,31.83,30.5,31.71,71239
89,2006-02-07,31.85,32.28,31.12,31.84,156207
90,2006-02-08,32.08,36.46,31.9,32.51,460436
91,2006-02-09,32.69,33.78,32.69,33.42,195266
92,2006-02-10,33.42,34.63,32.67,32.68,134867
93,2006-02-13,32.82,33.04,32.61,32.92,36407
94,2006-02-14,33.09,33.09,32.59,32.82,54033
95,2006-02-15,32.8,32.8,31.27,31.55,132675
96,2006-02-16,31.74,32.22,30.25,31.98,160526
97,2006-02-17,32.13,32.78,32.11,32.35,139369
98,2006-02-21,32.2,33.58,32.2,33.26,61298
99,2006-02-22,33.35,33.65,33.15,33.45,85905
100,2006-02-23,33.62,33.7,33.08,33.5,42131
101,2006-02-24,33.64,35.64,33.64,34.64,108219
102,2006-02-27,34.84,37.02,34.81,36.08,241828
103,2006-02-28,35.95,37.75,35.73,36.16,176527
104,2006-03-01,36.01,36.35,35.77,35.99,109487
105,2006-03-02,36.13,36.13,34.7,34.81,118454
106,2006-03-03,34.92,34.92,32.5,32.82,369842
107,2006-03-06,32.69,33.15,32.57,33.13,91771
108,2006-03-07,33.0,33.18,32.47,32.5,58925
109,2006-03-08,32.65,32.91,32.58,32.7,31224
110,2006-03-09,33.01,33.25,31.56,32.0,143961
111,2006-03-10,31.84,31.85,31.0,31.25,65200
112,2006-03-13,31.1,31.1,29.68,30.5,208338
113,2006-03-14,30.36,32.41,30.36,31.87,116406
114,2006-03-15,32.01,32.38,31.87,32.15,92836
115,2006-03-16,32.02,33.07,32.02,32.98,42514
116,2006-03-17,33.08,33.37,33.08,33.25,99799
117,2006-03-20,33.44,34.25,33.44,34.03,129970
118,2006-03-21,33.88,34.13,32.32,32.85,119201
119,2006-03-22,32.86,33.06,32.7,32.77,38088
120,2006-03-23,32.9,33.0,32.69,32.84,31972
121,2006-03-24,32.9,32.9,31.65,32.25,122029
122,2006-03-27,32.35,32.35,31.04,31.4,295682
123,2006-03-28,31.4,31.49,28.88,29.82,525975
124,2006-03-29,29.25,29.3,28.38,29.1,2588838
125,2006-03-30,29.21,29.82,28.62,29.75,922256
126,2006-03-31,29.75,30.01,29.3,29.85,531019
