,Date,Open,High,Low,Close,Volume
0,2017-09-21,24.85,24.85,24.8393,24.8393,1100
1,2017-09-22,24.81,24.81,24.78,24.79,43350
2,2017-09-25,24.81,24.81,24.71,24.71,6418
3,2017-09-27,24.8399,24.86,24.8399,24.86,501
4,2017-09-28,24.84,24.8425,24.84,24.8425,200
5,2017-09-29,24.89,24.99,24.89,24.99,2569
6,2017-10-19,25.06,25.12,25.06,25.12,800
7,2017-10-31,25.03,25.03,25.03,25.03,200
8,2017-11-01,25.15,25.15,25.15,25.15,4100
9,2017-11-02,25.06,25.06,25.06,25.06,510
10,2017-11-10,25.3,25.3,25.3,25.3,429
